fecha,temp_max,temp_min,temp_media,precipitacion
2017-07-03,"29,46","14,24","22,3","0,0"
2017-07-04,"30,89","15,47","23,64","0,01"
2017-07-05,"29,41","16,4","23,37","0,1"
2017-07-06,"26,98","17,09","22,49","3,1"
2017-07-07,"27,37","16,13","22,2","3,1"
2017-07-08,"27,01","16,1","22,01","1,68"
2017-07-09,"28,47","15,98","22,68","0,97"
2017-07-10,"28,07","15,95","22,47","1,27"
2017-07-11,"30,41","15,98","23,64","0,03"
2017-07-12,"32,23","17,21","25,17","0,01"
2017-07-13,"32,42","18,44","25,88","0,04"
2017-07-14,"31,22","18,36","25,25","0,07"
2017-07-17,"32,11","18,41","25,74","0,11"
2017-07-18,"31,81","18,45","25,57","0,53"
2017-07-19,"29,17","18,01","24,04","0,35"
2017-07-20,"27,28","16,21","22,2","0,64"
2017-07-21,"26,89","15,38","21,59","0,9"
2017-07-22,"28,49","15,08","22,24","0,14"
2017-07-23,"28,96","15,69","22,78","0,87"
2017-07-24,"28,55","16,44","22,95","0,86"
2017-07-25,"27,82","15,89","22,31","0,23"
2017-07-26,"29,74","15,52","23,09","0,12"
2017-07-27,"32,11","16,74","24,88","0,05"
2017-07-28,"32,63","17,8","25,67","0,06"
2017-07-29,"32,87","17,87","25,82","0,07"
2017-07-30,"31,77","17,91","25,29","0,11"
2017-07-31,"29,62","16,94","23,72","0,14"
2017-08-01,"28,68","17,08","23,34","0,31"
2017-08-02,"31,34","16,77","24,5","0,28"
2017-08-03,"32,85","17,78","25,76","0,04"
2017-08-04,"33,73","18,86","26,75","0,14"
2017-08-05,"31,74","19,08","25,87","0,86"
2017-08-06,"30,07","17,64","24,3","0,69"
2017-08-07,"30,93","18,04","24,95","0,46"
2017-08-08,"27,89","16,3","22,55","0,48"
2017-08-09,"25,2","14,23","20,17","1,46"
2017-08-10,"25,25","12,94","19,55","1,19"
2017-08-11,"27,15","13,3","20,67","0,01"
2017-08-12,"29,09","13,76","21,88","0,01"
2017-08-13,"30,17","15,22","23,14","0,04"
2017-08-14,"31,23","16,61","24,39","0,16"
2017-08-17,"32,43","17,3","25,31","0,0"
2017-08-18,"31,52","18,38","25,4","0,11"
2017-08-19,"30,14","17,9","24,48","0,16"
2017-08-20,"31,11","16,9","24,46","0,0"
2017-08-21,"32,78","17,07","25,39","0,0"
2017-08-22,"32,84","18,21","25,99","0,09"
2017-08-23,"31,81","18,14","25,43","0,48"
2017-08-24,"31,06","17,57","24,76","0,42"
2017-08-25,"31,0","17,16","24,53","0,09"
2017-08-26,"30,69","18,08","24,83","0,5"
2017-08-27,"27,83","18,33","23,54","3,18"
2017-08-28,"26,76","16,8","22,23","4,49"
2017-08-29,"25,5","15,68","21,04","4,68"
2017-08-30,"25,35","15,37","20,8","4,64"
2017-08-31,"25,23","15,12","20,63","1,81"
2017-09-01,"25,35","14,63","20,44","0,34"
2017-09-02,"26,02","13,61","20,27","0,29"
2017-09-03,"27,92","14,51","21,67","0,17"
2017-09-04,"27,73","15,97","22,3","0,37"
2017-09-05,"29,29","16,01","23,11","0,04"
2017-09-06,"27,77","16,43","22,55","0,8"
2017-09-07,"26,91","14,53","21,17","0,74"
2017-09-08,"28,02","13,44","21,19","0,07"
2017-09-09,"22,88","13,85","18,83","3,38"
2017-09-10,"23,11","11,45","17,74","1,96"
2017-09-11,"26,57","13,74","20,6","1,21"
2017-09-12,"25,69","14,07","20,33","0,59"
2017-09-13,"28,37","13,46","21,38","0,01"
2017-09-14,"26,01","13,69","20,31","0,7"
2017-09-17,"22,69","8,91","16,22","0,16"
2017-09-18,"22,88","11,47","17,62","1,51"
2017-09-19,"24,0","11,05","17,98","0,05"
2017-09-20,"25,78","10,4","18,53","0,0"
2017-09-21,"25,55","11,72","19,09","0,58"
2017-09-22,"23,9","13,18","19,01","1,72"
2017-09-23,"25,95","12,84","19,84","0,03"
2017-09-24,"27,42","12,77","20,53","0,23"
2017-09-25,"25,45","13,81","20,08","0,83"
2017-09-26,"24,89","12,11","18,95","0,2"
2017-09-27,"25,41","12,31","19,31","0,12"
2017-09-28,"26,43","13,44","20,38","0,01"
2017-09-29,"26,3","13,45","20,32","0,09"
2017-09-30,"23,73","13,77","19,2","0,74"
2017-10-01,"23,92","14,17","19,5","0,44"
2017-10-02,"25,98","14,94","20,92","0,43"
